Country,ISO,ADM
Afghanistan,AFG,ADM3
Afghanistan,AFG,ADM4
Åland Islands,ALA,ADM0
Åland Islands,ALA,ADM1
Åland Islands,ALA,ADM2
Åland Islands,ALA,ADM3
Åland Islands,ALA,ADM4
Albania,ALB,ADM4
Algeria,DZA,ADM4
American Samoa,ASM,ADM1
American Samoa,ASM,ADM2
American Samoa,ASM,ADM4
Andorra,AND,ADM2
Andorra,AND,ADM3
Andorra,AND,ADM4
Angola,AGO,ADM4
Anguilla,AIA,ADM1
Anguilla,AIA,ADM2
Anguilla,AIA,ADM3
Anguilla,AIA,ADM4
Antarctica,ATA,ADM1
Antarctica,ATA,ADM2
Antarctica,ATA,ADM3
Antarctica,ATA,ADM4
Antigua and Barbuda,ATG,ADM2
Antigua and Barbuda,ATG,ADM3
Antigua and Barbuda,ATG,ADM4
Argentina,ARG,ADM3
Argentina,ARG,ADM4
Armenia,ARM,ADM3
Armenia,ARM,ADM4
Aruba,ABW,ADM1
Aruba,ABW,ADM2
Aruba,ABW,ADM3
Aruba,ABW,ADM4
Australia,AUS,ADM3
Australia,AUS,ADM4
Azerbaijan,AZE,ADM3
Azerbaijan,AZE,ADM4
Bahamas,BHS,ADM3
Bahamas,BHS,ADM4
Bahrain,BHR,ADM2
Bahrain,BHR,ADM3
Bahrain,BHR,ADM4
Barbados,BRB,ADM2
Barbados,BRB,ADM3
Barbados,BRB,ADM4
Belarus,BLR,ADM3
Belarus,BLR,ADM4
Belize,BLZ,ADM3
Belize,BLZ,ADM4
Benin,BEN,ADM4
Bermuda,BMU,ADM1
Bermuda,BMU,ADM2
Bermuda,BMU,ADM3
Bermuda,BMU,ADM4
Bhutan,BTN,ADM3
Bhutan,BTN,ADM4
Bolivia (Plurinational State of),BOL,ADM4
"Bonaire, Sint Eustatius and Saba",BES,ADM1
"Bonaire, Sint Eustatius and Saba",BES,ADM2
"Bonaire, Sint Eustatius and Saba",BES,ADM3
"Bonaire, Sint Eustatius and Saba",BES,ADM4
Bosnia and Herzegovina,BIH,ADM4
Botswana,BWA,ADM3
Botswana,BWA,ADM4
Bouvet Island,BVT,ADM0
Bouvet Island,BVT,ADM1
Bouvet Island,BVT,ADM2
Bouvet Island,BVT,ADM3
Bouvet Island,BVT,ADM4
Brazil,BRA,ADM3
Brazil,BRA,ADM4
British Indian Ocean Territory,IOT,ADM0
British Indian Ocean Territory,IOT,ADM1
British Indian Ocean Territory,IOT,ADM2
British Indian Ocean Territory,IOT,ADM3
British Indian Ocean Territory,IOT,ADM4
British Virgin Islands,VGB,ADM1
British Virgin Islands,VGB,ADM2
British Virgin Islands,VGB,ADM3
British Virgin Islands,VGB,ADM4
Brunei Darussalam,BRN,ADM3
Brunei Darussalam,BRN,ADM4
Bulgaria,BGR,ADM3
Bulgaria,BGR,ADM4
Burkina Faso,BFA,ADM4
Burundi,BDI,ADM4
Cabo Verde,CPV,ADM3
Cabo Verde,CPV,ADM4
Cambodia,KHM,ADM4
Cameroon,CMR,ADM4
Canada,CAN,ADM4
Cayman Islands,CYM,ADM1
Cayman Islands,CYM,ADM2
Cayman Islands,CYM,ADM3
Cayman Islands,CYM,ADM4
Central African Republic,CAF,ADM4
Chad,TCD,ADM3
Chad,TCD,ADM4
Chile,CHL,ADM4
China,CHN,ADM4
"China, Hong Kong Special Administrative Region",HKG,ADM0
"China, Hong Kong Special Administrative Region",HKG,ADM1
"China, Hong Kong Special Administrative Region",HKG,ADM2
"China, Hong Kong Special Administrative Region",HKG,ADM3
"China, Hong Kong Special Administrative Region",HKG,ADM4
"China, Macao Special Administrative Region",MAC,ADM0
"China, Macao Special Administrative Region",MAC,ADM1
"China, Macao Special Administrative Region",MAC,ADM2
"China, Macao Special Administrative Region",MAC,ADM3
"China, Macao Special Administrative Region",MAC,ADM4
Christmas Island,CXR,ADM0
Christmas Island,CXR,ADM1
Christmas Island,CXR,ADM2
Christmas Island,CXR,ADM3
Christmas Island,CXR,ADM4
Cocos (Keeling) Islands,CCK,ADM0
Cocos (Keeling) Islands,CCK,ADM1
Cocos (Keeling) Islands,CCK,ADM2
Cocos (Keeling) Islands,CCK,ADM3
Cocos (Keeling) Islands,CCK,ADM4
Colombia,COL,ADM3
Colombia,COL,ADM4
Comoros,COM,ADM4
Congo,COG,ADM3
Congo,COG,ADM4
Cook Islands,COK,ADM1
Cook Islands,COK,ADM2
Cook Islands,COK,ADM3
Cook Islands,COK,ADM4
Costa Rica,CRI,ADM4
Côte d’Ivoire,CIV,ADM4
Croatia,HRV,ADM3
Croatia,HRV,ADM4
Cuba,CUB,ADM3
Cuba,CUB,ADM4
Curaçao,CUW,ADM1
Curaçao,CUW,ADM2
Curaçao,CUW,ADM3
Curaçao,CUW,ADM4
Cyprus,CYP,ADM3
Cyprus,CYP,ADM4
Democratic People's Republic of Korea,PRK,ADM3
Democratic People's Republic of Korea,PRK,ADM4
Democratic Republic of the Congo,COD,ADM4
Denmark,DNK,ADM3
Denmark,DNK,ADM4
Djibouti,DJI,ADM3
Djibouti,DJI,ADM4
Dominica,DMA,ADM2
Dominica,DMA,ADM3
Dominica,DMA,ADM4
Dominican Republic,DOM,ADM3
Dominican Republic,DOM,ADM4
Ecuador,ECU,ADM3
