Country,ISO,BoundaryType,BoundaryName,License,License Source,Source,Year,GeoJSON
Afghanistan,AFG,ADM0,Afghanistan,Public Domain,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,2014,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM0/geoBoundaries-AFG-ADM0.geojson
Afghanistan,AFG,ADM1,Afghanistan,Public Domain,commons.wikimedia.org/wiki/File,en.wikipedia.org/wiki/Provinces_of_Afghanistan,2007,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM1/geoBoundaries-AFG-ADM1.geojson
Afghanistan,AFG,ADM2,Afghanistan,Public Domain,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,2014,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2.geojson
Albania,ALB,ADM0,Albania,Public Domain,en.wikipedia.org/wiki/Outline_of_Albania#/media/File,en.wikipedia.org/wiki/Outline_of_Albania#/media,2003,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM0/geoBoundaries-ALB-ADM0.geojson
Albania,ALB,ADM1,Albania,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM1/geoBoundaries-ALB-ADM1.geojson
Albania,ALB,ADM2,Albania,Creative Commons Attribution 2.5 Generic,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM2/geoBoundaries-ALB-ADM2.geojson
Albania,ALB,ADM3,Albania,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2013,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ALB/ADM3/geoBoundaries-ALB-ADM3.geojson
Algeria,DZA,ADM0,Algeria,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DZA/ADM0/geoBoundaries-DZA-ADM0.geojson
Algeria,DZA,ADM1,Algeria,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,2017,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DZA/ADM1/geoBoundaries-DZA-ADM1.geojson
Algeria,DZA,ADM2,Algeria,Public Domain,commons.wikimedia.org/wiki/File,commons.wikimedia.org/wiki/File,2012,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DZA/ADM2/geoBoundaries-DZA-ADM2.geojson
Algeria,DZA,ADM3,Algeria,Creative Commons Attribution-ShareAlike 2.0,www.openstreetmap.org/copyright,osm-boundaries.com/,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DZA/ADM3/geoBoundaries-DZA-ADM3.geojson
American Samoa,ASM,ADM0,American Samoa,Creative Commons Attribution 4.0 (CC BY 4.0),livingatlas.arcgis.com/landcover/,env1.arcgis.com/arcgis/rest/services/Sentinel2_10m_LandCover/ImageServer,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ASM/ADM0/geoBoundaries-ASM-ADM0.geojson
American Samoa,ASM,ADM3,American Samoa,Public Domain,www.census.gov/about/policies/open-gov/open-data.html,www.census.gov/geographies/mapping-files/time-series/geo/cartographic-boundary.html,2021,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ASM/ADM3/geoBoundaries-ASM-ADM3.geojson
